生活中不缺少美，只是缺少发现美的眼睛。|罗丹
Stay hungry, stay foolish.|Steve Jobs
未经审视的人生不值得过。|苏格拉底
千里之行，始于足下。|老子
知之者不如好之者，好之者不如乐之者。|孔子
简单是终极的复杂。|达芬奇
代码是写给人看的，只是顺便能让机器运行。|Donald Knuth
学而时习之，不亦说乎？|孔子
To be or not to be, that is the question.|莎士比亚
己所不欲，勿施于人。|孔子
I think, therefore I am.|笛卡尔
天行健，君子以自强不息。|《周易》
路漫漫其修远兮，吾将上下而求索。|屈原
不积跬步，无以至千里。|荀子
纸上得来终觉浅，绝知此事要躬行。|陆游
宝剑锋从磨砺出，梅花香自苦寒来。|古诗
海纳百川，有容乃大。|林则徐
业精于勤，荒于嬉。|韩愈
非淡泊无以明志，非宁静无以致远。|诸葛亮
工欲善其事，必先利其器。|孔子
三人行，必有我师焉。|孔子
学而不思则罔，思而不学则殆。|孔子
温故而知新，可以为师矣。|孔子
逝者如斯夫，不舍昼夜。|孔子
君子坦荡荡，小人长戚戚。|孔子
吾生也有涯，而知也无涯。|庄子
穷则独善其身，达则兼济天下。|孟子
生于忧患，死于安乐。|孟子
得道者多助，失道者寡助。|孟子
天时不如地利，地利不如人和。|孟子
富贵不能淫，贫贱不能移。|孟子
老吾老以及人之老。|孟子
居安思危，思则有备。|《左传》
人谁无过？过而能改，善莫大焉。|《左传》
多行不义必自毙。|《左传》
皮之不存，毛将焉附？|《左传》
辅车相依，唇亡齿寒。|《左传》
一鼓作气，再而衰，三而竭。|《左传》
流水不腐，户枢不蠹。|《吕氏春秋》
察己则可以知人。|《吕氏春秋》
胜人者有力，自胜者强。|老子
大直若屈，大巧若拙。|老子
祸兮福之所倚，福兮祸之所伏。|老子
合抱之木，生于毫末。|老子
上善若水，水善利万物而不争。|老子
知人者智，自知者明。|老子
天下难事，必作于易。|老子
慎终如始，则无败事。|老子
相濡以沫，不如相忘于江湖。|庄子
夏虫不可语冰。|庄子
人生天地之间，若白驹过隙。|庄子
君子之交淡若水。|庄子
天地与我并生。|庄子
至人无己，神人无功。|庄子
临渊羡鱼，不如退而结网。|《汉书》
绳锯木断，水滴石穿。|《汉书》
水至清则无鱼。|《汉书》
前车之覆，后车之鉴。|《汉书》
百闻不如一见。|《汉书》
失之毫厘，谬以千里。|《汉书》
不入虎穴，焉得虎子。|《汉书》
天下熙熙，皆为利来。|《史记》
桃李不言，下自成蹊。|《史记》
智者千虑，必有一失。|《史记》
项庄舞剑，意在沛公。|《史记》
人为刀俎，我为鱼肉。|《史记》
运筹帷幄之中，决胜千里之外。|《史记》
忠言逆耳利于行。|《史记》
山重水复疑无路，柳暗花明又一村。|陆游
问渠那得清如许？为有源头活水来。|朱熹
少年易老学难成，一寸光阴不可轻。|朱熹
读书破万卷，下笔如有神。|杜甫
会当凌绝顶，一览众山小。|杜甫
星垂平野阔，月涌大江流。|杜甫
无边落木萧萧下，不尽长江滚滚来。|杜甫
白日放歌须纵酒，青春作伴好还乡。|杜甫
两个黄鹂鸣翠柳，一行白鹭上青天。|杜甫
春江潮水连海平，海上明月共潮生。|张若虚
人生代代无穷已，江月年年只相似。|张若虚
海内存知己，天涯若比邻。|王勃
落霞与孤鹜齐飞，秋水共长天一色。|王勃
欲穷千里目，更上一层楼。|王之涣
羌笛何须怨杨柳，春风不度玉门关。|王之涣
采菊东篱下，悠然见南山。|陶渊明
晨兴理荒秽，带月荷锄归。|陶渊明
盛年不重来，一日难再晨。|陶渊明
大江东去，浪淘尽，千古风流人物。|苏轼
但愿人长久，千里共婵娟。|苏轼
不识庐山真面目，只缘身在此山中。|苏轼
竹外桃花三两枝，春江水暖鸭先知。|苏轼
横看成岭侧成峰，远近高低各不同。|苏轼
The only way to do great work is to love what you do.|Steve Jobs
Innovation distinguishes between a leader and a follower.|Steve Jobs
Stay foolish, stay hungry.|Steve Jobs
Life is what happens when you're busy making other plans.|John Lennon
The future belongs to those who believe in the beauty of their dreams.|Eleanor Roosevelt
It is during our darkest moments that we must focus to see the light.|Aristotle
